#time[s],LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10
0,0,0,0,0,0,0,0,0,0,0
0.01,1,0,0,0,0,0,0,0,0,0
0.02,2,0,0,0,0,0,0,0,0,0
0.03,3,0,0,0,0,0,0,0,0,0
0.04,4,0,0,0,0,0,0,0,0,0
0.05,5,0,0,0,0,0,0,0,0,0
0.06,6,0,0,0,0,0,0,0,0,0
0.07,7,0,0,0,0,0,0,0,0,0
0.08,8,0,0,0,0,0,0,0,0,0
0.09,9,0,0,0,0,0,0,0,0,0
0.1,10,0,0,0,0,0,0,0,0,0
0.11,11,0,0,0,0,0,0,0,0,0
0.12,12,0,0,0,0,0,0,0,0,0
0.13,13,0,0,0,0,0,0,0,0,0
0.14,14,0,0,0,0,0,0,0,0,0
0.15,15,0,0,0,0,0,0,0,0,0
0.16,16,0,0,0,0,0,0,0,0,0
0.17,17,0,0,0,0,0,0,0,0,0
0.18,18,0,0,0,0,0,0,0,0,0
0.19,19,0,0,0,0,0,0,0,0,0
0.2,20,0,0,0,0,0,0,0,0,0
0.21,21,0,0,0,0,0,0,0,0,0
0.22,22,0,0,0,0,0,0,0,0,0
0.23,23,0,0,0,0,0,0,0,0,0
0.24,24,0,0,0,0,0,0,0,0,0
0.25,25,0,0,0,0,0,0,0,0,0
0.26,26,0,0,0,0,0,0,0,0,0
0.27,27,0,0,0,0,0,0,0,0,0
0.28,28,0,0,0,0,0,0,0,0,0
0.29,29,0,0,0,0,0,0,0,0,0
0.3,30,0,0,0,0,0,0,0,0,0
0.31,31,0,0,0,0,0,0,0,0,0
0.32,32,0,0,0,0,0,0,0,0,0
0.33,33,0,0,0,0,0,0,0,0,0
0.34,34,0,0,0,0,0,0,0,0,0
0.35,35,0,0,0,0,0,0,0,0,0
0.36,36,0,0,0,0,0,0,0,0,0
0.37,37,0,0,0,0,0,0,0,0,0
0.38,38,0,0,0,0,0,0,0,0,0
0.39,39,0,0,0,0,0,0,0,0,0
0.4,40,0,0,0,0,0,0,0,0,0
0.41,41,0,0,0,0,0,0,0,0,0
0.42,42,0,0,0,0,0,0,0,0,0
0.43,43,0,0,0,0,0,0,0,0,0
0.44,44,0,0,0,0,0,0,0,0,0
0.45,45,0,0,0,0,0,0,0,0,0
0.46,46,0,0,0,0,0,0,0,0,0
0.47,47,0,0,0,0,0,0,0,0,0
0.48,48,0,0,0,0,0,0,0,0,0
0.49,49,0,0,0,0,0,0,0,0,0
0.5,50,0,0,0,0,0,0,0,0,0
0.51,51,1,0,0,0,0,0,0,0,0
0.52,52,2,0,0,0,0,0,0,0,0
0.53,53,3,0,0,0,0,0,0,0,0
0.54,54,4,0,0,0,0,0,0,0,0
0.55,55,5,0,0,0,0,0,0,0,0
0.56,56,6,0,0,0,0,0,0,0,0
0.57,57,7,0,0,0,0,0,0,0,0
0.58,58,8,0,0,0,0,0,0,0,0
0.59,59,9,0,0,0,0,0,0,0,0
0.6,60,10,0,0,0,0,0,0,0,0
0.61,61,11,0,0,0,0,0,0,0,0
0.62,62,12,0,0,0,0,0,0,0,0
0.63,63,13,0,0,0,0,0,0,0,0
0.64,64,14,0,0,0,0,0,0,0,0
0.65,65,15,0,0,0,0,0,0,0,0
0.66,66,16,0,0,0,0,0,0,0,0
0.67,67,17,0,0,0,0,0,0,0,0
0.68,68,18,0,0,0,0,0,0,0,0
0.69,69,19,0,0,0,0,0,0,0,0
0.7,70,20,0,0,0,0,0,0,0,0
0.71,71,21,0,0,0,0,0,0,0,0
0.72,72,22,0,0,0,0,0,0,0,0
0.73,73,23,0,0,0,0,0,0,0,0
0.74,74,24,0,0,0,0,0,0,0,0
0.75,75,25,0,0,0,0,0,0,0,0
0.76,76,26,0,0,0,0,0,0,0,0
0.77,77,27,0,0,0,0,0,0,0,0
0.78,78,28,0,0,0,0,0,0,0,0
0.79,79,29,0,0,0,0,0,0,0,0
0.8,80,30,0,0,0,0,0,0,0,0
0.81,81,31,0,0,0,0,0,0,0,0
0.82,82,32,0,0,0,0,0,0,0,0
0.83,83,33,0,0,0,0,0,0,0,0
